"CATEGORY_NAME","GENDER","AGE_GROUP","CATEGORY_ID"
"Shirts","Male","Kids","CAT10001"
"Innerwear","Male","Kids","CAT10002"
"Shoes","Male","Kids","CAT10003"
"Jackets","Male","Kids","CAT10004"
"Accessories","Male","Kids","CAT10005"
"Pants","Male","Kids","CAT10006"
"Jeans","Male","Kids","CAT10007"
"Shirts","Female","Kids","CAT10008"
"Innerwear","Female","Kids","CAT10009"
"Shoes","Female","Kids","CAT10010"
"Jackets","Female","Kids","CAT10011"
"Accessories","Female","Kids","CAT10012"
"Pants","Female","Kids","CAT10013"
"Jeans","Female","Kids","CAT10014"
"Dress","Female","Kids","CAT10015"
"Shirts","Male","Pre-Teens","CAT10016"
"Innerwear","Male","Pre-Teens","CAT10017"
"Shoes","Male","Pre-Teens","CAT10018"
"Jackets","Male","Pre-Teens","CAT10019"
"Accessories","Male","Pre-Teens","CAT10020"
"Pants","Male","Pre-Teens","CAT10021"
"Jeans","Male","Pre-Teens","CAT10022"
"Shirts","Female","Pre-Teens","CAT10023"
"Innerwear","Female","Pre-Teens","CAT10024"
"Shoes","Female","Pre-Teens","CAT10025"
"Jackets","Female","Pre-Teens","CAT10026"
"Accessories","Female","Pre-Teens","CAT10027"
"Pants","Female","Pre-Teens","CAT10028"
"Jeans","Female","Pre-Teens","CAT10029"
"Dress","Female","Pre-Teens","CAT10030"
"Shirts","Male","Adults","CAT10031"
"Innerwear","Male","Adults","CAT10032"
"Shoes","Male","Adults","CAT10033"
"Jackets","Male","Adults","CAT10034"
"Accessories","Male","Adults","CAT10035"
"Pants","Male","Adults","CAT10036"
"Jeans","Male","Adults","CAT10037"
"Shirts","Female","Adults","CAT10038"
"Innerwear","Female","Adults","CAT10039"
"Shoes","Female","Adults","CAT10040"
"Jackets","Female","Adults","CAT10041"
"Accessories","Female","Adults","CAT10042"
"Pants","Female","Adults","CAT10043"
"Jeans","Female","Adults","CAT10044"
"Dress","Female","Adults","CAT10045"
